,tshirt_number,position,player_name,team_name
0,1,G,Gabriel Delfim,Atlético Mineiro
1,17,M,Igor Gomes,Atlético Mineiro
2,31,G,Robert,Atlético Mineiro
3,2,LD,Natanael,Atlético Mineiro
4,18,M,Reinier,Atlético Mineiro
5,32,G,Gabriel Átila,Atlético Mineiro
6,4,Z,Lyanco,Atlético Mineiro
7,19,A,João Marcelo,Atlético Mineiro
8,33,A,Rony,Atlético Mineiro
9,5,V,Alexsander,Atlético Mineiro
10,20,V,Patrick Silva,Atlético Mineiro
11,37,A,Júnior Santos,Atlético Mineiro
12,6,Z,Junior Alonso,Atlético Mineiro
13,21,V,Alan Franco,Atlético Mineiro
14,38,LE,Caio Paulista,Atlético Mineiro
15,7,A,Hulk,Atlético Mineiro
16,22,G,Éverson,Atlético Mineiro
17,39,A,Caio Maia,Atlético Mineiro
18,8,V,Fausto Vera,Atlético Mineiro
19,23,Z,Iván Román,Atlético Mineiro
20,42,A,Cadu,Atlético Mineiro
21,10,M,Gustavo Scarpa,Atlético Mineiro
22,25,V,Gabriel Menino,Atlético Mineiro
23,48,M,Mateus Iseppe,Atlético Mineiro
24,11,M,Bernard,Atlético Mineiro
25,26,LD,Saravia,Atlético Mineiro
26,77,A,Gabriel Teixeira,Atlético Mineiro
27,13,LE,Guilherme Arana,Atlético Mineiro
28,28,A,Tomás Cuello,Atlético Mineiro
29,92,A,Dudu,Atlético Mineiro
30,14,Z,Vitor Hugo,Atlético Mineiro
31,30,A,Isaac,Atlético Mineiro
32,–,Z,Ruan,Atlético Mineiro
33,1,G,Danilo Fernandes,Bahia
34,13,LD,Santiago Arias,Bahia
35,34,G,João Paulo,Bahia
36,2,LD,Gilberto,Bahia
37,14,V,Erick,Bahia
38,37,A,Kayky,Bahia
39,3,Z,Gabriel Xavier,Bahia
40,15,M,Michel Araújo,Bahia
41,44,Z,Luiz Gustavo,Bahia
42,4,Z,Kanu,Bahia
43,16,A,Erick Pulga,Bahia
44,46,LE,Luciano Juba,Bahia
45,5,V,Rezende,Bahia
46,17,A,Luciano Rodriguez,Bahia
47,66,LE,Zé Guilherme,Bahia
48,6,V,Jean Lucas,Bahia
49,19,V,Caio Alexandre,Bahia
50,70,M,Vitinho,Bahia
51,7,A,Ademir,Bahia
52,21,Z,Ramos Mingo,Bahia
53,77,A,Tiago,Bahia
54,8,M,Cauly,Bahia
55,23,A,Sanabria,Bahia
56,96,G,Ronaldo,Bahia
57,10,M,Éverton Ribeiro,Bahia
58,25,LE,Iago Borduchi,Bahia
59,,,,Bahia
60,11,M,Rodrigo Nestor,Bahia
61,26,V,Nicolás Acevedo,Bahia
62,,,,Bahia
63,12,A,Willian José,Bahia
64,33,Z,David Duarte,Bahia
65,,,,Bahia
66,1,G,Raul,Botafogo
67,15,Z,Bastos,Botafogo
68,31,Z,Kaio Pantaleão,Botafogo
69,2,LD,Vitinho,Botafogo
70,16,A,Nathan Fernandes,Botafogo
71,35,V,Danilo,Botafogo
72,4,LD,Mateo Ponte,Botafogo
73,17,V,Marlon Freitas,Botafogo
74,39,A,Mastriani,Botafogo
75,6,LE,Cuiabano,Botafogo
76,19,A9,Kayke,Botafogo
77,40,G,Cristhian Loor,Botafogo
78,7,A,Artur,Botafogo
79,20,Z,Alexander Barboza,Botafogo
80,47,A,Jeffinho,Botafogo
81,8,M,Álvaro Montoro,Botafogo
82,21,LE,Marçal,Botafogo
83,48,V,Huguinho,Botafogo
84,9,A,Chris Ramos,Botafogo
85,22,G,Neto,Botafogo
86,57,Z,David Ricardo,Botafogo
87,10,A,Savarino,Botafogo
88,23,M,Santiago Rodríguez,Botafogo
89,77,M,Kauan Lindes,Botafogo
90,11,A,Matheus Martins,Botafogo
91,24,G,Léo Linck,Botafogo
92,98,A,Arthur Cabral,Botafogo
93,12,G,John,Botafogo
94,25,V,Allan,Botafogo
95,–,Z,Gabriel Bahia,Botafogo
96,13,LE,Alex Telles,Botafogo
97,28,V,Newton,Botafogo
98,,,,Botafogo
99,14,A,Jordan Barrera,Botafogo
100,30,A,Joaquín Correa,Botafogo
101,,,,Botafogo
102,1,G,Richard,Ceará
103,16,G,Fernando Miguel,Ceará
104,33,Z,Éder,Ceará
105,2,LD,Rafael Ramos,Ceará
106,18,G,Keiller,Ceará
107,44,Z,Marcos Victor,Ceará
108,3,Z,Marllon,Ceará
109,20,LD/V,Dieguinho,Ceará
110,70,LD,Fabiano Souza,Ceará
111,7,A,Pedro Henrique,Ceará
112,23,Z,Willian Machado,Ceará
113,75,M/A,Rodriguinho,Ceará
114,8,M,Matheus Araújo,Ceará
115,25,V,Vinicius Zanocelo,Ceará
116,77,A,Fernandinho,Ceará
117,9,A,Pedro Raul,Ceará
118,26,V,Richardson,Ceará
119,79,LE,Matheus Bahia,Ceará
120,10,M,Lucas Mugni,Ceará
121,27,A,Galeano,Ceará
122,80,A,Guilherme,Ceará
123,11,A,Aylon,Ceará
124,29,M,Vina,Ceará
125,88,V,Fernando Sobral,Ceará
126,13,Z,Luiz Otávio,Ceará
127,30,LE,Nicolas,Ceará
128,94,G,Bruno Ferreira,Ceará
129,15,Z,Gabriel Lacerda,Ceará
130,31,V,Lucas Lima,Ceará
131,97,V,Lourenço,Ceará
132,1,G,Hugo Souza,Corinthians
133,13,Z,Gustavo Henrique,Corinthians
134,31,A,Kayke,Corinthians
135,2,LD,Matheuzinho,Corinthians
136,14,V,Raniele,Corinthians
137,32,G,Matheus Donelli,Corinthians
